"ABA","ABA 脱落酸" 
"protocetraric acid","protocetraric acid 原岛衣酸"
"protocytosis","protocytosis 原胞吞（作用）[细胞从环境中吸收必需的小分子物质的过程]"
"protoderm","protoderm 原表皮层"
"protofibril","protofibril 原纤维，前原纤维"
"protofilament","protofilament 原丝"
"protogene","protogene 原基因"
"protogenic solvent","protogenic solvent 给质子溶剂"
"protogyny","protogyny 雌蕊先熟"
"protoheme","protoheme 正铁血红素"
"protolysis","protolysis 质子传递作用"
"protolyte","protolyte 质子传递物"
"protomer","protomer 原聚体，原体"
"protooncogene","protooncogene 原癌基因"
"protopanoxadiol","protopanoxadiol 原人参二醇"
"protopathic sensation","protopathic sensation 粗感觉"
"protophobic solvent","protophobic solvent 疏质子溶剂"
"protopine","protopine 前托品，前鸦片碱"
"protoplasm","protoplasm 原生质"
"protoplasm","protoplasm 原生质"
"protoplasmic bridge","protoplasmic bridge 原生质桥"
"protoplast","protoplast 原生质体"
"protoplast","protoplast 原生质体"
"protoplast culture","protoplast culture 原生质体培养"
"protoplast fusion","protoplast fusion 原生质体融合"
"protoporphyrin","protoporphyrin 原卟啉"
"prototroph","prototroph 原养型"
"protozoan","protozoan 原虫，原生动物"
"protruding","protruding 突出的"
"prourokinase","prourokinase 尿激酶原"
"provirus","provirus 原病毒"
"proximal","proximal 邻近的，近侧的"
"pseudoallele","pseudoallele 拟等位基因"
"pseudobactin","pseudobactin 假单胞菌素"
"pseudocyst","pseudocyst 假孢囊"
"pseudocyst","pseudocyst 假孢囊"
"pseudodiploid","pseudodiploid 假二倍体"
"pseudodiploid","pseudodiploid 假二倍体"
"pseudodominance","pseudodominance 假显性"
"pseudo first order reaction","pseudo first order reaction 准一级反应"
"pseudogene","pseudogene 假基因，拟基因，伪基因"
"pseudoglobulin","pseudoglobulin 假球蛋白"
"pseudohemoglobin","pseudohemoglobin 假血红蛋白"
"pseudokeratin","pseudokeratin 假角蛋白"
"pseudoknot","pseudoknot 假结"
"pseudomonas","pseudomonas 假单胞杆菌属"
"pseudopeptidoglycan","pseudopeptidoglycan 假肽聚糖[见于某些产甲烷细菌的细胞壁]"
"pseudoplastic","pseudoplastic 假塑性"
"pseudopodia","pseudopodia (复数）伪足"
"pseudopodium","pseudopodium 伪足"
"pseudopodium","pseudopodia(复)
pseudopodium
pseudopodia(复) 伪足"
"pseudopregnancy","pseudopregnancy 假孕"
"pseudoreversion","pseudoreversion 拟回复突变"
"pseudoscreening","pseudoscreening 假筛选（法）"
"pseudotype virus","pseudotype virus 假型病毒[包膜来源于一种病毒而内部成分来源于另一种病毒]"
"pseudouridine","pseudouridine 假尿苷"
"pseudovirion","pseudovirion 假病毒颗粒"
"pseudovirus","pseudovirus 假病毒"
"psicose","psicose 阿洛酮糖"
"psoralen","psoralen 补骨脂素，补骨脂内酯"
"psoraline","psoraline 补骨脂灵"
"psychosine","psychosine 鞘氨醇半乳糖苷"
"psychrophile","psychrophile 嗜冷生物"
"psychrophilic","psychrophilic 嗜冷的"
"pteridin","pteridin 蝶啶"
"pterin","pterin 蝶呤"
"pterocarpan","pterocarpan 紫檀碱[异黄酮类]"
"ptyalin","ptyalin 唾液淀粉酶"
"puff","puff 胀泡"
"puff","puff 胀泡"
"pullulan","pullulan 支链淀粉"
"pullulanase","pullulanase 支链淀粉酶"
"pulse alternative field gel electrophoresis","pulse alternative field gel electrophoresis 脉冲[交变]电场凝胶电泳"
"pulse-labelling technique","pulse-labelling technique 脉冲标记技术"
"pulvomycin","pulvomycin 粉霉素"
"purified protein derivative","purified protein derivative 纯化蛋白衍生物[结核杆菌提取物]"
"purinethiol","purinethiol 巯基嘌呤"
"puromycin","puromycin 嘌呤霉素"
"pustulan","pustulan 石耳素[属多糖类]"
"putrescine","putrescine ""腐胺，1,4-丁二胺"""
"pycniospore","pycniospore [锈菌]性孢子"
"pycnosis","pycnosis （核）固缩"
"pyknosis","pyknosis （核）固缩"
"pyocin","pyocin （绿）脓（菌）素"
"pyoclastin","pyoclastin 片绿脓菌素"
"pyocyanin","pyocyanin 绿脓（菌）素"
"pyocyanolysin","pyocyanolysin 绿脓杆菌溶血素"
"pyofluorescein","pyofluorescein 绿脓菌荧光素"
"pyranose","pyranose 吡喃糖"
"pyrazofurin","pyrazofurin 吡唑呋喃菌素"
"pyrazole","pyrazole 吡唑"
"pyrenoid","pyrenoid 淀粉核"
"pyrenoid","pyrenoid 淀粉核"
"pyrenomycetes","pyrenomycetes 核菌（一类真菌）"
"pyrethrin","pyrethrin 除虫菊酯"
"pyrex","pyrex [商]PYREX（牌硬质）玻璃[3M公司商标]"
"pyridine","pyridine 吡啶"
"pyridinoline","pyridinoline 吡啶啉"
"pyridoxal","pyridoxal 吡哆醛[与吡哆胺、吡哆醇一起合称维生素B6]"
"pyridoxamine","pyridoxamine 吡哆胺"
"pyridoxine","pyridoxine 吡哆醇"
"pyridyl","pyridyl 吡啶基"
"pyrimidine","pyrimidine 嘧啶"
"pyrogen","pyrogen (致）热原"
"pyroglobulin","pyroglobulin 热球蛋白"
"pyronin","pyronin 派洛宁，焦宁"
"pyrophosphatase","pyrophosphatase 焦磷酸酶"
"pyrophosphate","pyrophosphate 焦磷酸盐、酯"
"pyrophosphorolysis","pyrophosphorolysis 焦磷酸解"
"pyrophosphorylase","pyrophosphorylase 焦磷酸化酶"
"pyrophosphorylation","pyrophosphorylation 焦磷酸化"
"pyrotoxin","pyrotoxin 热毒素"
"pyrrole","pyrrole 吡咯"
"pyrrolidine","pyrrolidine 吡咯烷"
"pyrrolidone","pyrrolidone 吡咯烷酮"
"pyrroline","pyrroline 吡咯啉"
"quadriplex","quadriplex 四显性组合"
"quadrivalent","quadrivalent 四价的；四价体"
"quadrivalent","quadrivalent 四价体"
"quadruplex","quadruplex 四显性组合"
"quadruplex DNA","quadruplex DNA 四元DNA"
"quartering","quartering 四分（法）"
"quasidominance","quasidominance 准显性"
"quasispecies","quasispecies 准种[由一种母序列和来自该序列的大量相关突变体所组成的病毒基因组]"
"quasisymmetry","quasisymmetry 准对称"
"quassin","quassin 苦木素"
"quaternary","quaternary 四级的；四元的；季"
"quick freezing","quick freezing 快速冷冻"
"quick stop mutation","quick stop mutation 快停突变[大肠杆菌中升温至42℃即停止复制的突变]"
"quinacrine","quinacrine 喹吖因"
"quinhydrone","quinhydrone 醌氢醌"
"quinidine","quinidine 奎尼定[抗心律不齐药]"
"quinochrome","quinochrome 醌色素"
"quinoline","quinoline 喹啉"
"quinolizidine","quinolizidine 喹嗪"
"quinomycin","quinomycin 醌霉素"
"quinone","quinone 醌"
"quinoprotein","quinoprotein 醌蛋白[以吡咯并喹啉醌为辅基]"
"quinuclidinyl","quinuclidinyl 奎宁环基"
"rabbit hemorrhagic disease virus","rabbit hemorrhagic disease virus 兔出血病病毒[属杯状病毒科]"
"rabbitpox virus","rabbitpox virus 兔痘病毒"
"rabies virus","rabies virus 狂犬病毒"
"rabphilin","rabphilin Rab亲和蛋白[Rab蛋白是指Ras相关GTP结合蛋白]"
"raccoonpox virus","raccoonpox virus 浣熊痘病毒"
"racemase","racemase 消旋酶"
"racemate","racemate 外消旋物"
"racemic","racemic 外消旋的"
"racemization","racemization 外消旋化"
"raddicle","raddicle 胚根"
"radiation cytology","radiation cytology 辐射细胞学"
"radicin","radicin 根蛋白"
"radioactive tracer","radioactive tracer 放射性示踪物"
"radioelectrophoresis","radioelectrophoresis 放射电泳"
"radiograph","radiograph 放射显影图，射线照相"
"radiography","radiography 放射显影（法）"
"radioimmunoassay","RIA
radioimmunoassay
RIA 放射免疫测定"
"radioimmunoassay","radioimmunoassay 放射免疫测定，放射免疫分析"
"radioimmunoelectrophoresis","radioimmunoelectrophoresis 放射免疫电泳"
"radioimmunoimaging","radioimmunoimaging 放射免疫成像"
"radioimmunology","radioimmunology 放射免疫学"
"radioimmunoprecipitation","radioimmunoprecipitation 放射免疫沉淀（法）"
"radioiodinated","radioiodinated 放射性碘化的"
"radioiodination","radioiodination 放射性碘化"
"radiolabeled","radiolabeled 放射性标记的"
"radiolabeling","radiolabeling 放射性标记"
"radioligand","radioligand 放射性配体"
"radiolysis","radiolysis 辐（射分）解（作用）"
"radiometer","radiometer 放射计，辐射计"
"radionuclide","radionuclide 放射性核素"
"radiopaque","radiopaque 不透射线的"
"radioparent","radioparent （可）透射线的"
"radiophotoluminescence","radiophotoluminescence 放射光致发光"
"radioprotectant","radioprotectant 辐射防护剂"
"radiosensitivity","radiosensitivity 辐射敏感性"
"radiosensitization","radiosensitization 辐射敏化"
"radiosensitizer","radiosensitizer 辐射敏化剂"
"radixin","radixin 根蛋白[可作用于肌动蛋白丝]"
"radwaste","radwaste 放射性废物"
"raffinose","raffinose 棉子糖"
"ragweed","ragweed 豚草"
"raji cell","raji cell Raji细胞"
"ramachandran map","ramachandran map Ramachandran图，拉氏图[指示蛋白质主链二面角允许值范围的图形]"
"ranatensin","ranatensin 蛙（紧张）肽，豹蛙（紧张）肽"
"rapamycin","rapamycin 纳巴霉素，雷帕霉素"
"raphe","raphe 缝际；种脊"
"rauwolscine","rauwolscine 萝芙素"
"rDNA","rDNA 核糖体 DNA"
"reading frame","reading frame 读框，阅读框架"
"reading frame shift","reading frame shift 读框移位"
"reagin","reagin 反应素"
"reannealing","reannealing 重退火"
"reassociation","reassociation 重缔合"
"reassortment","reassortment 重配"
"rebound","rebound 回跳[用于神经系统]"
"receptor","receptor 受体"
"recirculating lymphocyte pool","recirculating lymphocyte pool 再循环淋巴细胞库"
"recognin","recognin 识别子，识别蛋白"
"recognition site","recognition site 识别位点"
"recombinant","recombinant ""重组子，重组体,重组的"""
"recombinant DNA","recombinant DNA 重组 DNA"
"recombinant DNA technique","recombinant DNA technique 重组 DNA 技术"
"recombinase","recombinase 重组酶"
"recombination nodule","recombination nodule 重组结"
"Recombulin","Recombulin [商]重组胰岛素[GIBCO公司商标]"
"recon","recon 重组子"
"recon","recon 重组子"
"recoverin","recoverin 恢复蛋白[见于脊椎动物视网膜的钙传感蛋白，可促进cGMP的重合成、钙通道的重开放及暗状态的恢复]"
"red drop","red drop 红降"
"redifferentiation","redifferentiation 再分化"
"red shift","red shift 红移"
"reduced viscosity","reduced viscosity 比浓粘度"
"regeneration","regeneration 再生"
"regulatory egg","regulatory egg 调整卵"
"regulatory secretion","regulatory secretion 受调分泌"
"regulatory site","regulatory site 调节位点"
"regulon","regulon 调节子[受控于同一调节蛋白的多个操纵子]"
"rejuvenescence","rejuvenescence 复壮"
"remnant","remnant 残迹[如用于描述分子进化]"
"renaturation","renaturation 复性"
"renin","renin 肾素"
"rennin","rennin 凝乳酶"
"reovirus","reovirus 呼肠（孤）病毒"
"repeating dispenser","repeating dispenser 重复分液器[带有贮液装置并可连续反复多次放出液体的分液器]"
"repetitive sequence","repetitive sequence 重复序列"
"replicase","replicase 复制酶"
"replicase","replicase 复制酶"
"replicate culture","replicate culture 复制式培养"
"replicating fork","replicating fork 复制叉"
"replication","replication 复制"
"replication band","replication band 复制带"
"replicative eys","replicative eys 复制眼[长段非复制序列中的DNA复制区]"
"replicative recombination","replicative recombination 复制重组[通过可动遗传因子从基因的一个位置复制到另一个位置]"
"replicator","replicator 复制因子，复制基因"
"replicon","replicon 复制子"
"replicon","replicon 复制子"
"replisome","replisome 复制体[执行DNA复制功能的多种蛋白质复合体]"
"repolarization","repolarization 复极化"
"reporter","reporter 报道基因，报道分子"
"reporter gene","reporter gene 报道基因，报告基因[处于另一基因下游并可反映转录及上游基因表达水平的基因]"
"reporter molecule","reporter molecule 报道分子[具有类似指示剂作用的分子]"
"representation","representation 表现度"
"repression","repression 阻抑，阻遏"
"repressor","repressor 阻抑物"
"repressor","repressor 阻抑物，阻遏物，阻抑蛋白"
"reptilia","reptilia 爬行纲[节肢动物]"
"resact","resact 呼吸活化肽[一种海胆卵肽，可刺激精子的呼吸]"
"reserpine","reserpine 利血平"
"reshaped antibody","reshaped antibody 重构抗体"
"residual body","residual body 残余体"
"resilin","resilin 节肢弹性蛋白"
"resolvase","resolvase 解离酶"
"resorufin","resorufin 试卤灵，9-羟基-3-异吩恶唑酮"
"respirometer","respirometer 呼吸计"
"resting cell","resting cell 静息细胞[具有生命代谢能力而处于停止分裂状态的细胞]"
"restitope","restitope （依）托位[抗原呈递中，T细胞受体上与Ⅱ类组织相容性复合体分子相互作用的部位]"
"restorer","restorer 恢复系"
"restorpin","restorpin 网状内皮（作用）素"
"restricted transduction","restricted transduction 局限转导[在细菌细胞生活周期中易于接受外源DNA的某种暂时状态下出现]"
"restriction point","restriction point 限制点
符号“R”。"
"restriction site","restriction site 限制[酶切]位点"
"retardin","retardin 阻滞素，延缓素"
"reticulin","reticulin 网硬蛋白；网硬素"
"reticulocyte","reticulocyte 网织红细胞"
"reticuloendothelial system","reticuloendothelial system 网状内皮系统"
"retina","retina 视网膜"
"retinal","retinal 视黄醛；视网膜的"
"retinaldehyde","retinaldehyde 视黄醛"
"retinene","retinene 视黄醛"
"retinoblastoma","retinoblastoma 成视网膜细胞瘤的，Rb的"
"retinol","retinol 视黄醇"
"retriever vector","retriever vector 挽回载体[携有野生型基因侧翼序列并可用于克隆相应突变基因的穿梭载体]"
"retroegulation","retroegulation 反向调节[下游序列对翻译的调节]"
"retroelement","retroelement 逆转录因子"
"retrograde axonal transport","retrograde axonal transport 逆行轴突运输"
"retronphage","retronphage 逆转录子噬菌体"
"retroposon","retroposon 反转录子"
"retroposon","retroposon 逆转录子"
"retropseudogene","retropseudogene 逆转录假基因[关于假基因起源的一种假说]"
"retrosynthesis","retrosynthesis 逆合成[从相反方向分析合成路线]"
"retrotransposition","retrotransposition 逆转录转座（作用）"
"retrotransposon","retrotransposon 反转录转座子"
"retrotransposon","retrotransposon 逆转录转座子[转座过程中出现逆转录，如酵母Tyl和果蝇copia]"
"retrovir","retrovir [商]叠氮胸苷"
"retroviral vector","retroviral vector 逆转录病毒载体"
"retrovirus","retrovirus 逆转录病毒，反（转）录病毒"
"retrovirus","retrovirus 反转录病毒
又称“逆转录病毒”。"
"reuptake","reuptake 重摄取"
"revaccination","revaccination 疫苗再接种"
"reverberation","reverberation 回荡[用于神经系统]"
"reverse band","reverse band R带，（相）反带[与Q带相反的带]"
"reverse biochemistry","reverse biochemistry 反向生物化学[通过克隆化基因的表达产物反过来研究体内蛋白质的生化特性]"
"reversion","reversion 回复突变"
"revertant","revertant 回复体"
"revertant","revertant 回复体"
"revistin","revistin 制逆转录酶素"
"Rf value","Rf value Rf值，比移值"
"rhabdovirus","rhabdovirus 弹状病毒"
"rhamnose","rhamnose 鼠李糖"
"rheogram","rheogram 流变图"
"rheology","rheology 流变学"
"rhinovirus","rhinovirus 鼻病毒"
"rhizobia","rhizobia 根瘤菌"
"rhizocaline","rhizocaline 成根素"
"rhizome","rhizome 根（状）茎"
"rhizomorph","rhizomorph 菌索[见于真菌]"
"rhizopin","rhizopin 根霉促进素"
"rhizoplast","rhizoplast 根丝体"
"rhizoplast","rhizoplast 根丝体"
"rhizopterin","rhizopterin 根霉蝶呤"
"rhizosphere","rhizosphere 根际"
"rhizospheric","rhizospheric 根际的"
"rhodamine","rhodamine 罗丹明"
"rhodamine","rhodamine 罗丹明"
"rhodanese","rhodanese 硫氰酸酶"
"rhodomorphin","rhodomorphin 红形素"
"rhodophyta","rhodophyta 红藻门"
"rhodoplast","rhodoplast 藻红体"
"rhodoplast","rhodoplast 藻红体"
"rhodopseudomonacin","rhodopseudomonacin 红假单胞菌素"
"rhodopsin","rhodopsin 视紫红质，视紫质，紫红质，紫膜质"
"rhodospirillum","rhodospirillum 红螺菌属"
"rhodotoxin","rhodotoxin 玫红毒素，杜鹃花毒素"
"ribavirin","ribavirin 三氮唑核苷，病毒唑"
"riboflavin","riboflavin 核黄素"
"ribohomopolymer","ribohomopolymer 核糖核酸同聚体"
"ribolose","ribolose 核酮糖"
"ribonuclease","ribonuclease 核糖核酸酶，RNA酶"
"ribonucleoprotein","ribonucleoprotein 核糖核蛋白"
"ribophorin","ribophorin 核糖体结合（糖）蛋白，核糖体受体蛋白[见于糙面内质网]"
"ribophorin","ribophorin [内质网]核糖体结合糖蛋白"
"ribopolymer","ribopolymer 核糖核酸多聚体"
"ribose","ribose 核糖"
"ribosomal","ribosomal 核糖体的"
"ribosomal RNA","rRNA
ribosomal RNA
rRNA 核糖体 RNA"
"ribosome","ribosome 核糖体"
"ribosome","ribosome 核糖体"
"ribostamycin","ribostamycin 核糖霉素"
"ribosyl","ribosyl 核糖基"
"ribosylation","ribosylation 核糖基化（作用）"
"ribovirin","ribovirin 病毒唑"
"ribozyme","ribozyme 核酶[可切割特异性RNA序列的RNA分子]"
"ricin","ricin 蓖麻毒蛋白"
"rickettsia","rickettsia 立克次氏体"
"rickettsia burneti","rickettsia burneti 伯氏Q热立克次氏体"
"rickettsia typhi","rickettsia typhi 斑疹伤寒立克次氏体"
"rider","rider 游码"
"rifampicin","rifampicin 利福平"
"rifampin","rifampin 利福平"
"rifamycin","rifamycin 利福霉素"
"rimocidin","rimocidin 龟裂杀菌素"
"ri plasmid","ri plasmid Ri质粒，毛根诱导质粒"
"ristocetin","ristocetin 瑞斯托菌素"
"ristomycin","ristomycin 瑞斯托霉素"
"RNA editing","RNA editing RNA编辑[在初级转录物上增删或取代某些核苷酸而改变遗传信息]"
"RNA ladder","RNA ladder RNA梯[如大小不同的RNA分子量标准参照物的电泳谱]"
"RNasin","RNasin [商]RNA酶蛋白质抑制剂[Promega公司商标]"
"RNA splicing","RNA splicing RNA 剪接"
"RNA transport","RNA transport RNA转运[主要指RNA从细胞核转运到细胞质]"
"RNA 剪接","RNA 剪接 RNA splicing"
"RNA 印迹法","RNA 印迹法 Northern blotting"
"Robertsonian translocation","Robertsonian translocation 罗伯逊易位"
"Robertsonian translocation","Robertsonian translocation 罗伯逊易位[非同源染色体端着丝粒之间融合，或两个近端着丝粒染色体相互易位而形成一个染色体]"
"rod","rod 杆菌；（视）杆细胞"
"roller bottle culture","roller bottle culture 滚瓶培养"
"root culture","root culture 根培养"
"rosamicin","rosamicin 蔷薇霉素"
"rosette","rosette （玫瑰）花结"
"rosette forming cell","RFC
rosette forming cell
RFC 花结形成细胞"
"rotamase","rotamase 旋转异构酶"
"rotamer","rotamer 旋转异构体"
"rotate tube culture","rotate tube culture 旋转管培养"
"rotavirus","rotavirus 轮状病毒"
"rotenoid","rotenoid 鱼藤酮（类）生物碱"
"rotenono","rotenono 鱼藤酮"
"rough endoplasmic reticulum","rough endoplasmic reticulum 糙面内质网"
"Rous sarcoma virus","Rous sarcoma virus Rous肉瘤病毒"
"rubella virus","rubella virus 风疹病毒"
"rubidomycin","rubidomycin 红比霉素"
"rubisco","rubisco 核酮糖二磷酸羧化酶-加氧酶"
"rubredoxin","rubredoxin 玉红氧还蛋白[一种不含血红素的铁蛋白]"
"ruffling","ruffling [细胞]边缘波动"
"ruffling","ruffling [细胞]边缘波动"
"ruminant","ruminant 反刍动物；反刍（动物）的"
"rutin","rutin 芸香苷，芦丁"
"rutoside","rutoside 芸香苷"
"saccharomyces cerevisiae","saccharomyces cerevisiae 酿酒酵母"
"saccharopine","saccharopine 酵母氨酸"
"saccluse","saccluse [高尔基体]扁平膜囊"
"saccules","saccules [高尔基体]扁平膜囊"
"safranine","safranine 番红"
"safranine","safranine 番红"
"safrole","safrole 黄樟素"
"sagamicin","sagamicin 相模霉素"
"saikoside","saikoside 柴胡皂苷"
"sakaguchi reaction","sakaguchi reaction 坂口反应"
"Sakaguchi reaction","Sakaguchi reaction 坂口反应"
"salicin","salicin 水杨苷"
"salicylate","salicylate 水杨酸盐"
"salinomycin","salinomycin 盐霉素"
"salivary gland chromosome","salivary gland chromosome 唾腺染色体"
"salmin","salmin 鲑精蛋白"
"salmonella","salmonella 沙门氏菌属"
"salmonella typhi","salmonella typhi 伤寒（沙门氏）杆菌"
"saltatory conduction","saltatory conduction 跳跃传导"
"salvelin","salvelin 鲑精蛋白"
"sapogenin","sapogenin 皂（角）苷配基，皂（角）苷元"
"saran wrap","saran wrap [商]Saran包装膜，莎伦包装膜，偏氯伦包装膜，[DOW Chemical公司商标，是用强韧而易弯曲的热敏塑料制成的包装用薄膜]"
"sarcina","sarcina 八叠球菌"
"sarcodina","sarcodina 肉足总纲"
"sarcolemma","sarcolemma 肌膜"
"sarcomere","sarcomere 肌（原纤维）节"
"sarcomere","sarcomere 肌[原纤维]节"
"sarcomycin","sarcomycin 肉瘤霉素"
"sarcoplasm","sarcoplasm 肌质"
"sarcoplasmic","sarcoplasmic 肌质"
"sarcoplasmic reticulum","sarcoplasmic reticulum 肌质网"
"sarcosinate","sarcosinate 肌氨酸盐"
"sarcosine","sarcosine 肌氨酸"
"sarcosyl","sarcosyl 十二烷基肌氨酸钠"
"sarcotubule","sarcotubule 肌小管"
"sarcotubules","sarcotubules 肌小管"
"sarin","sarin 萨林"
"satellite chromosome","SAT-chromosome
satellite chromosome
SAT-chromosome 随体染色体"
"satellite DNA","satellite DNA 卫星 DNA"
"satellite DNA","satellite DNA 卫星DNA[真核细胞染色体DNA经氯化铯密度梯度离心，其高度重复序列因组成不同而在主带旁自成一条或数条条带]"
"satellitism","satellitism 卫星现象[可特指一种微生物在另一种微生物菌落附近才能旺盛地生长繁殖的现象]"
"satiety center","satiety center 饱中枢"
"saturation density","saturation density 饱和密度"
"saturation hybridization","saturation hybridization 饱和杂交[一种组分大大过量而使另一组分的互补序列全部掺入双链中]"
"saturation mutagenesis","saturation mutagenesis 饱和诱变[对基因的某一小区域内碱基进行多种形式的置换]"
"SAT-zone","SAT-zone 随体区"
"sauvagine","sauvagine 蛙皮降压肽"
"saxitoxin","saxitoxin 蛤蚌毒素"
"scaffolding protein","scaffolding protein 支架蛋白"
"scanning electron microscope","SEM
scanning electron microscope
SEM 扫描电子显微镜"
"scanning microspectrophotometer","scanning microspectrophotometer 扫描显微分光光度计"
"scanning tunnel microscope","STM
scanning tunnel microscope
STM 扫描隧道显微镜"
"Schiff's reagent","Schiff's reagent 希夫试剂"
"scinderin","scinderin 肌切蛋白，[肌动蛋白]切割蛋白"
"scintillant","scintillant 闪烁体"
"sclerenchyma","sclerenchyma 厚壁组织"
"scleroglycan","scleroglycan 小核菌（葡）聚糖"
"scleroprotein","scleroprotein 硬蛋白"
"sclerotium","sclerotium 菌核[见于真菌]"
"scombron","scombron 鲭组蛋白"
"scopolamine","scopolamine 莨菪胺，东莨菪碱"
"scotobacteria","scotobacteria 暗细菌"
"scotophobin","scotophobin 恐暗素"
"scotopsin","scotopsin 暗视蛋白"
"scraper","scraper 刮棒，刮器"
"scrapie","scrapie 羊搔痒症"
"secondary constriction","secondary constriction 次缢痕"
"secondary culture","subculture
secondary culture
subculture 继代培养"
"secondary lysosome","secondary lysosome 次级溶酶体"
"secondary oocyte","secondary oocyte 次级卵母细胞"
"secondary spermatocyte","secondary spermatocyte 次级精母细胞"
"secretion","secretion 分泌"
"secretory vesicle","secretory vesicle 分泌小泡"
"segment","segment 区段，节段[核酸分子的某一段序列；染色体的一段]"
"segmental motion","segmental motion 摆动[膜脂肪分子头部一端固定，另一端沿与膜法线垂直方向作钟摆运动]"
"selectin","selectin 选择蛋白[一种选择性的细胞粘着分子，可与糖类结合]"
"selectin","selectin 选择蛋白"
"self-assembly","self-assembly 自组装"
"self-pollination","self-pollination 自体受粉"
"semisterility","semisterility 半不育[性]"
"sensitization","sensitization 致敏"
"septate junction","septate junction 分隔连接"
"sequencing","sequencing 序列测定"
"sequencing","sequencing 测序，序列测定"
"sequential expression","sequential expression 依序表达"
"sequestrin","sequestrin 钳合蛋白[见于疟原虫感染的红细胞，可与内皮细胞的CD36结合]"
"serendip","serendip 夜乐甜蛋白"
"serglycan","serglycan 丝甘（蛋白）聚糖[其中含有大量Ser-Gly重复序列]"
"sericin","sericin 丝胶蛋白"
"seroconversion","seroconversion 血清转变，阳转"
"seroprevalence","seroprevalence 血清阳性率"
"serotonin","serotonin 5-羟色胺，血清紧张素"
"serotype","serotype 血清型"
"serovar","serovar 血清变型"
"serpin","serpin 丝氨酸蛋白酶抑制剂"
"serum-free medium","serum-free medium 无血清培养液
又称“无血清培养基”。"
"severin","severin 肌割蛋白，[肌动蛋白]割切蛋白"
"sex chromosome","idiochromosome
sex chromosome
idiochromosome 性染色体"
"sex determination","sex determination 性别决定"
"sex differentiation","sex differentiation 性别分化"
"sexduction","sexduction 性导"
"sexuality","sexuality 性别"
"shellac","shellac ""紫胶,虫胶"""
"shoot tip culture","shoot tip culture 茎尖培养"
"shotgun","shotgun 鸟枪法"
"sialidase","sialidase 唾液酸酶"
"sialoadhesin","sialoadhesin 唾液酸粘附素"
"sialoglycopeptide","sialoglycopeptide 唾液酸糖肽"
"sialoglycoprotein","sialoglycoprotein 唾液酸糖蛋白"
"sialolyglycoconjugate","sialolyglycoconjugate 唾液酸糖缀合物"
"sialophorin","sialophorin 涎福林（蛋白）"
"sialoprotein","sialoprotein 涎蛋白，唾液蛋白"
"sialyloligosaccharide","sialyloligosaccharide 唾液酸寡糖"
"sialytransferase","sialytransferase 唾液酸转移酶"
"siastatin","siastatin 制唾液酸酶素"
"sib","sib 同胞"
"sibling","sibling 同胞"
"signal hypothesis","signal hypothesis 信号假说"
"signal peptide","signal peptide 信号肽"
"signal recognition particle","SRP
signal recognition particle
SRP 信号识别颗粒"
"silencer","silencer 沉默子[与相应反式作用因子结合后可阻断增强子及反式激活因子的作用]；沉默基因"
"silibin","silibin 蓟素[α-鹅膏蕈环肽的抑制肽]"
"single cell culture","single cell culture 单细胞培养"
"single cell variant","single cell variant 单细胞变异体"
"single-stranded DNA binding protein","single-stranded DNA binding protein 单链 DNA 结合蛋白"
"siphovirus","siphovirus 长尾病毒[一类噬菌体]"
"sisomicin","sisomicin 紫苏霉素"
"sitosterol","sitosterol 谷固醇，固甾醇"
"skatole","skatole 粪臭素，3-甲基吲哚"
"skelemin","skelemin 骨架蛋白[见于横纹肌，可使细胞骨架与微原纤维相连]"
"slide","slide 载玻片"
"sliding filament model","sliding filament model 纤丝滑动模型"
"sliding microtubule mechanism","sliding microtubule mechanism 微管滑动机制"
"smear","smear 涂片"
"smooth endoplasmic reticulum","smooth endoplasmic reticulum 光面内质网"
"smut","smut 黑粉菌"
"snurposome","snurposome 核内小核糖核蛋白体"
"sobemovirus","sobemovirus 南方菜豆花叶病毒组"
"solenoid","solenoid 螺线管"
"solvolysis","solvolysis 溶剂解"
"soma","soma 体质"
"somaclonal variation","somaclonal variation 体细胞克隆变异"
"somatic cell","somatic cell 体细胞"
"somatic cell hybrid","somatic cell hybrid 体细胞杂种"
"somatic hybridization","somatic hybridization 体细胞杂交"
"somatic mutation","somatic mutation 体细胞突变"
"somatic recombination","somatic recombination 体细胞重组"
"somatic variation","somatic variation 体细胞变异"
"somatoliberin","somatoliberin 促生长素释放素"
"somatomammotropin","somatomammotropin 生长促乳素，生长催乳素"
"somatomedin","somatomedin 生长调节素，生长素介质[例如生长调节素C]"
"somatomedin C","somatomedin C 生长调节素 C"
"somatoplasm","somatoplasm 体质[与种质相对]"
"somatostatin","somatostatin 促生长素抑制素，抑生长素"
"somatotropin","somatotropin 促生长素，生长激素"
"sorcin","sorcin 抗药蛋白，可溶（性）抗药性相关钙结合蛋白"
"Southern blot","Southern blot Southern印迹，DNA印迹"
"southern blotting","southern blotting southern印迹法，DNA印迹法"
"Southern blotting","Southern blotting DNA 印迹法"
"southwestern blotting","southwestern blotting southwestern印迹法，DNA-蛋白质印迹法"
"soybean agglutinin","SBA
soybean agglutinin
SBA 大豆凝集素"
"spacing factor","spacing factor 间距因子"
"spare culture","spare culture 稀疏培养"
"spectinomycin","spectinomycin 壮观霉素，奇霉素"
"spectrin","spectrin 血影蛋白"
"spectrin","spectrin 血影蛋白"
